影片名称,评分,类型,主演,上映日期,图片URL
百老汇,暂无评分,歌舞,格伦·特莱昂／艾弗琳·布伦特／梅尔纳·肯尼迪,1929-05-27,https://p0.pipi.cn/basicdata/54ecded75370e12c957df506d71bd0f39bc17.jpg?imageView2/1/w/218/h/300
英雄本色,7.8,剧情／动作／犯罪,陈齐颂／杜平／嘉玲,1967-09-13,https://p0.pipi.cn/basicdata/54ecded78078d3300baf335cb950c29a41369.jpg?imageView2/1/w/218/h/300
2001太空漫游,8.3,科幻／惊悚／冒险,凯尔·杜拉／加里·洛克伍德／威廉姆·西尔维斯特,1968-04-02,https://p0.pipi.cn/mmdb/fb7386020fa51b87a97e1292c5e224201fad1.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
劳动人民文化宫,暂无评分,纪录片,,1950,https://p0.pipi.cn/mmdb/d2dad592e7a8d3338f0e13800c6ed576fb41f.jpg?imageView2/1/w/218/h/300
泰坦尼克号,7.6,历史,马里奥·博纳德／乔瓦尼·卡萨勒乔／Luigi Duse,1915-04,https://p0.pipi.cn/mmdb/d2dad592b123383ba32c95c31875dee276920.jpg?imageView2/1/w/218/h/300
银河,7.8,剧情／喜剧,保罗·弗朗克尔／洛朗·特兹弗／阿兰·盖音,1969-03-15,https://p0.pipi.cn/basicdata/54ecded78078d307ac925787da8dbb46af50f.jpg?imageView2/1/w/218/h/300
木乃伊,7.2,剧情／恐怖／奇幻,波利斯·卡洛夫／齐塔·约翰／大卫·曼纳斯,1932-12-22,https://p0.pipi.cn/basicdata/54ecded78078d38ea3d23c8dd18673a235d90.jpg?imageView2/1/w/218/h/300
满江红,暂无评分,剧情／爱情,张瑛／白燕／夏萍,1962-02-28,https://p0.pipi.cn/basicdata/54ecded78070e17df5cf3eac2eca157f07b60.jpg?imageView2/1/w/218/h/300
埃及艳后,7.8,剧情／传记／历史,伊丽莎白·泰勒／理查德·伯顿／雷克斯·哈里森,1963-06-12,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d23650c8ef95f5abf625fd3.jpg?imageView2/1/w/218/h/300
地道战,暂无评分,战争,朱龙广／王炳彧／张勇手,1965-12-31,https://p0.pipi.cn/mmdb/d2dad592c7e7e111e52c95580378c9a2e993c.jpg?imageView2/1/w/218/h/300
大都会,8.3,剧情／科幻,鲁道夫·克莱恩-鲁格／弗里茨·拉斯普／西奥多·卢斯,1927-01-10,https://p0.pipi.cn/basicdata/54ecded78078d3f0ee300b37dd70e7738c90b.jpg?imageView2/1/w/218/h/300
绿野仙踪,8.1,歌舞／奇幻／冒险,朱迪·嘉兰／弗兰克·摩根／雷·博尔格,1939-08-10,https://p0.pipi.cn/mmdb/d2dad592c7e7e1cbaeddd2bc6ee4ea6b761fa.jpg?imageView2/1/w/218/h/300
荒野大镖客,8.1,西部／动作,克林特·伊斯特伍德／吉昂·马利亚·沃隆特／玛丽安妮·柯奇,1964-09-12,https://p0.pipi.cn/mmdb/d2dad52fe7a87a07acd7c3c389da3d9745f6c.jpg?imageView2/1/w/218/h/300
