影片名称,评分,类型,主演,上映日期,图片URL
僵尸复活,暂无评分,恐怖,郑婉雯／林富伟／姚文基,1987,https://p0.pipi.cn/basicdata/54ecded7e7a0e1338faf33bd24afa6c5b3052.jpg?imageView2/1/w/218/h/300
台北大怪谈,暂无评分,剧情／惊悚／恐怖,应采灵／夏玲玲／彭雪芬,1982,https://p0.pipi.cn/basicdata/54ecded78070e1af333139e5674731cee0b57.jpg?imageView2/1/w/218/h/300
朱秀华还魂记,暂无评分,剧情／恐怖,龙君儿／秦风,1982-05-22,https://p0.pipi.cn/basicdata/54ecded7e7a0e19257e19b01e5c5cf820ec4e.jpg?imageView2/1/w/218/h/300
畸情杀手,暂无评分,犯罪,马场／萧玉飞／钟震宏,1988,https://p0.pipi.cn/basicdata/54ecded7e7a0e1f0eeb860d39b4caf91ae8a9.jpg?imageView2/1/w/218/h/300
猴妻,暂无评分,惊悚,岳华／陆胜莲,1982,https://p0.pipi.cn/basicdata/54ecded7537be102ff31397cca40f0efbde39.jpg?imageView2/1/w/218/h/300
阴忌,6.2,动作／恐怖,庄泉利／宋金来／徐忠信,1982-02-19,https://p0.pipi.cn/basicdata/54ecded77e10e1af33b8607513336c3de8c31.jpg?imageView2/1/w/218/h/300
新目莲救母,暂无评分,动作／奇幻,卢碧云／归亚蕾／唐威,1982,https://p0.pipi.cn/basicdata/54ecded70308d3339e3ba344baead3b8066f2.jpg?imageView2/1/w/218/h/300
鬼影魔踪,暂无评分,动作,谷庆刚／刘洁,1989,https://p0.pipi.cn/mmdb/d2dad59206db12ddd287a950bf617401ea526.jpg?imageView2/1/w/218/h/300
邪魔女,暂无评分,恐怖,徐明／马沙,1982-12-10,https://p0.pipi.cn/basicdata/54ecded78078d3e7aae19bcd0ef5ff030efb5.jpg?imageView2/1/w/218/h/300
棺中还魂,暂无评分,,梁修身／王菲／金波,1981,https://p0.pipi.cn/basicdata/54ecded7e7a0e1d23c2c9520e454217333c7e.jpg?imageView2/1/w/218/h/300
艳煞勾魂,暂无评分,恐怖,周绍栋／于枫,1982,https://p0.pipi.cn/basicdata/54ecded706d8d367cb16bdae0a71c3bb6eed0.jpg?imageView2/1/w/218/h/300
龍女下凡,暂无评分,奇幻／古装,施思／蓝毓莉／朱永德,1982-10-16,https://p0.pipi.cn/basicdata/54ecded7e7a8d3e5bc2c9521fd5f7d133faca.jpg?imageView2/1/w/218/h/300
足球小将 欧洲大决战,7.6,动画／运动,小粥洋子／飞田展男／飞田展男,1985-07-13,https://p0.pipi.cn/mmdb/d2dad592b12b1221f0b860b149d3dcd8725a9.jpg?imageView2/1/w/218/h/300
酸辣姻缘,暂无评分,剧情,谢钢／赵越／袁思达,1985-02-01,https://p0.pipi.cn/mmdb/d2dad52ff2a9ab8d33be123aacf1e4db4939f.jpg?imageView2/1/w/218/h/300
阿拉蕾剧场版01：你好！奇异岛,7.4,喜剧／动画／短片,中野圣子,1981-07-18,https://p0.pipi.cn/basicdata/54ecded75378d3339ef0eed456228293e493b.jpg?imageView2/1/w/218/h/300
红樱桃,暂无评分,,方姬／Yun-seok Choi／申英日,1982-11-06,https://p0.pipi.cn/basicdata/54ecded7e7a0e111e5b12d599b51560ec396f.jpg?imageView2/1/w/218/h/300
夜夜磨刀的女人,暂无评分,剧情／惊悚,欧阳震华／李道洪／赵玲珑,1980-10-04,https://p0.pipi.cn/basicdata/54ecded78078d3b535d23c29f00b9781a4900.jpg?imageView2/1/w/218/h/300
三对半情侣和一个小偷,暂无评分,剧情,张多福／盖丽丽／许守钦,1989-02-01,https://p0.pipi.cn/mmdb/d2dad592b127e1be12e5bc5f28ec1e585b61c.jpg?imageView2/1/w/218/h/300
변강쇠,暂无评分,剧情／爱情,Hie Yun／Hyeon-ju Kang／In-sun Park,1986-05-03,https://p0.pipi.cn/basicdata/54ecded706d8d3cbaeaf33acc0073e1e587c0.jpg?imageView2/1/w/218/h/300
弧光,7.7,剧情,白灵／张光北／肖雄,1989-07,https://p0.pipi.cn/mmdb/d2dad592b12b12e19b21f0c43c5cf3b0c5f88.jpg?imageView2/1/w/218/h/300
闪电舞,7.9,爱情／剧情／音乐,詹妮弗·比尔斯／迈克尔·诺里／莉利亚·斯卡瓦,1983-04-15,https://p0.pipi.cn/mmdb/d2dad592b123385bf1338f66cf3cc1401fd4e.jpg?imageView2/1/w/218/h/300
无耻之地,暂无评分,剧情,塞卡／Don Fernando／保罗·托马斯,1981-08-28,https://p0.pipi.cn/basicdata/54ecded706d8d357e2cf3e35bd70f22668c26.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
黑狱圣女,3.9,冒险／剧情／家庭,吴毅将／曹查理／钟淑慧,1981-01-01,https://p0.pipi.cn/mmdb/d2dad592b122ff5bf1c69646d7fff4fe401e6.jpg?imageView2/1/w/218/h/300
阴阳界,7.3,剧情,申军谊／金棣／涂们,1988,https://p0.pipi.cn/mmdb/d2dad59206dc7ecf3eb860c27717a86bb9cb5.jpg?imageView2/1/w/218/h/300
老虎装牙,6.9,动画／短片,,1987-01-01,https://p0.pipi.cn/mmdb/d2dad592b12923c9fdf2aa7e45a84ea137607.jpg?imageView2/1/w/218/h/300
皮囊,7.6,剧情／战争,马斯特罗亚尼／克劳迪娅·卡汀娜／伯特·兰卡斯特,1981-05-22,https://p0.pipi.cn/basicdata/54ecded7e7a8d30e13cbaebd24e08197bf77f.jpg?imageView2/1/w/218/h/300
黄色故事,6.9,爱情,张艾嘉／周华健／张曼玉,1988-11-23,https://p0.pipi.cn/basicdata/54ecded78078d3c696313969f17b944e5b84b.jpg?imageView2/1/w/218/h/300
歪唇男人,8.7,悬疑／犯罪,杰瑞米·布雷特／爱德华·哈德威克／克莱夫·弗朗西斯,1986-08-13 01:00,https://p0.pipi.cn/mmdb/d2dad59206dc7ed236339ea44f84049c114a9.jpg?imageView2/1/w/218/h/300
Balboa,暂无评分,剧情,亨瑞·琼斯／Joy Brent／托尼·柯蒂斯,1983-07-19,https://p0.pipi.cn/basicdata/54ecded77e10e13ba39ab4011596facdb6866.jpg?imageView2/1/w/218/h/300
风骚俏佳人,暂无评分,剧情／喜剧／爱情,吉恩·哈克曼／芭芭拉·史翠珊／戴安·拉德,1981-03-06,https://p0.pipi.cn/basicdata/54ecded78070e107ac67cb5ea06e75d085903.jpg?imageView2/1/w/218/h/300
剧场版 宇宙刑事夏依达,暂无评分,动作／科幻／短片,Kazuhiko Kudô／饭冢昭三／西泽俊明,1984-07-14,https://p0.pipi.cn/basicdata/54ecded75370e1030cc6968a9a0dd243cc161.jpg?imageView2/1/w/218/h/300
舞狮人传奇,暂无评分,剧情／动作,杨振国／王润身／沈光炜,1985-02-01,https://p0.pipi.cn/mmdb/d2dad592b125bf16bd807701a457f71e85378.jpg?imageView2/1/w/218/h/300
春香传,7.4,剧情／爱情／音乐,崔顺奎／Yong Suk Kim／高宗焕,1980-05,https://p0.pipi.cn/basicdata/54ecded77e18d3338f3139376522dc55ede07.jpg?imageView2/1/w/218/h/300
小马驹电影,7.0,动画／家庭／奇幻,丹尼·德维托／克劳斯·利特曼／查尔斯·阿德勒,1988-06-19,https://p0.pipi.cn/mmdb/d2dad592e7a02fd23687a9705a3ac786af793.jpg?imageView2/1/w/218/h/300
致命女人,暂无评分,剧情／动作,梅蕾特·范·坎普／Robert Lipton／香农·特威德,1990-04-20 01:00,https://p0.pipi.cn/basicdata/54ecded78078d3807750c8824fd44a4c1f933.jpg?imageView2/1/w/218/h/300
李尔王,6.4,剧情／喜剧／科幻,伍迪·艾伦／弗雷迪·布歇／莱奥·卡拉克斯,1988-01-22,https://p0.pipi.cn/basicdata/54ecded7e7a0e15bf1d2366ef7a9d93ac896f.jpg?imageView2/1/w/218/h/300
坏种子,6.6,剧情／悬疑／恐怖,布莱尔·布朗／琳恩·雷德格瑞夫 ／Carrie Wells,1985,https://p0.pipi.cn/mmdb/d2dad59206d51bb12d21f0a58368e8300b79e.jpg?imageView2/1/w/218/h/300
李尔王,8.0,剧情／爱情,迈克尔·霍登／吉莲·巴奇／布兰达·布莱斯,1982-09-19,https://p0.pipi.cn/basicdata/54ecded78070e1230f16bdc4e16c359b48cb5.jpg?imageView2/1/w/218/h/300
猫头鹰与小飞象,6.9,剧情／喜剧／动作,林子祥／洪金宝／杨紫琼,1984-12-12,https://p0.pipi.cn/mmdb/d2dad592b123385bf13ba3da95f155f9948f5.jpg?imageView2/1/w/218/h/300
都市里的村庄,7.6,剧情,殷亭如／韦国春／李萍,1982-10-24,https://p0.pipi.cn/mmdb/d2dad592b1251be5bc030caf08e9a9e91fbce.jpg?imageView2/1/w/218/h/300
世纪争霸战,暂无评分,喜剧／动作／科幻,理查德·托马斯／罗伯特·沃恩／乔治·佩帕德,1980-08-10,https://p0.pipi.cn/mmdb/d2dad592b12f2a21f00e1368158377375b1a1.jpg?imageView2/1/w/218/h/300
哗鬼学院,暂无评分,喜剧,Tom Nolan／Elizabeth Foxx／拉里·林维尔,1985-10-30,https://p0.pipi.cn/basicdata/54ecded78070e1f0ee7e128ace3d5247852bb.jpg?imageView2/1/w/218/h/300
不了情,暂无评分,,何家劲／童安格／金素梅,1989-01-01,https://p0.pipi.cn/mmdb/d2dad592b12923281e2ff7ee83f06c1ba18cb.jpg?imageView2/1/w/218/h/300
角头兄弟,暂无评分,动作,梁家仁／游天龙／龙冠武,1989,https://p0.pipi.cn/basicdata/54ecded77e10e150c83ba3b7bd3abc0dd30e4.jpg?imageView2/1/w/218/h/300
中国女孩,6.4,剧情／爱情／犯罪,詹姆斯·拉索／理查德·帕内比安科／大卫卡鲁索,1987-09-25,https://p0.pipi.cn/basicdata/54ecded7c698d3cbaeaf33c72df3dd83faa60.jpg?imageView2/1/w/218/h/300
流尽第一滴血,暂无评分,剧情,Andrey Nekrasov／Pavel Kulakov／Viktor Matin,1989-11,https://p0.pipi.cn/basicdata/54ecded75370e131390e13f0fb7bc2ee60b37.jpg?imageView2/1/w/218/h/300
颤栗,9.1,恐怖／短片／音乐,迈克尔·杰克逊／欧拉·蕾／文森特•普莱斯,1983-11-21,https://p0.pipi.cn/mmdb/d2dad592b12923e19becd82ed53268cf583c7.jpg?imageView2/1/w/218/h/300
地下人,暂无评分,剧情,Antonio Ber Ciani／Jesús Berenguer／Héctor Bidonde,1981-09-03,https://p0.pipi.cn/mmdb/d2dad592e7a71f2c95300b0752dd558e985f1.jpg?imageView2/1/w/218/h/300
在陆地，在海上和在空中,8.0,动画／短片,,1980,https://p0.pipi.cn/mmdb/d2dad592b1251b7a350faf212d11aec2ef17f.jpg?imageView2/1/w/218/h/300
月影谋杀,暂无评分,喜剧／惊悚／恐怖,Esa Anttila／Juuso Ruohomäki／Tiina Björkman,1988-11-04,https://p0.pipi.cn/basicdata/54ecded78070e18ea371f7ced4d72207f9823.jpg?imageView2/1/w/218/h/300
白狗,7.9,剧情／惊悚／恐怖,塞缪尔·富勒／乔治·费舍尔／克里斯蒂·麦克尼科尔,1982-11-12,https://p0.pipi.cn/mmdb/d2dad592b1292302ffc6964e73716daa2ec1f.jpg?imageView2/1/w/218/h/300
新锐剧场：未尝不可老天真,暂无评分,,,1986,https://p0.pipi.cn/basicdata/54ecded78078d3f2aad23c6e8cf9b0dfc3591.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
当代风格,暂无评分,剧情,王善树／王稼祥／朱曼芳,1984-02-01,https://p0.pipi.cn/mmdb/d2dad592b12b12d23cd236c5535a14abb5e31.jpg?imageView2/1/w/218/h/300
Mehyô,暂无评分,犯罪,Yukihiko Sato／Mai Roppongi／Keihei Wakisaka,1985-12-27,https://p0.pipi.cn/mmdb/d2dad592030d7cc7ed7a35c74e5f9f8d2bd75.jpg?imageView2/1/w/218/h/300
午夜艳客,暂无评分,,高文松／姚慧玲／马场,1988,https://p0.pipi.cn/basicdata/54ecded7e7a0e13139b860c72f26b0f0e9f1e.jpg?imageView2/1/w/218/h/300
从前面还是后面,暂无评分,剧情,畑中叶子／Yuki Jun／岸田麻里,1980-12-26,https://p0.pipi.cn/mmdb/d2dad5927e15bfc696be2ab648da0515492ce.jpg?imageView2/1/w/218/h/300
僵尸大闹唐人街,暂无评分,恐怖,Randy Atmadja／吴汉章／Joe Podnar,1989-08-03,https://p0.pipi.cn/basicdata/54ecded75378d311e5b86026b0ec92ef95c7a.jpg?imageView2/1/w/218/h/300
外星博士,暂无评分,喜剧／科幻,比利·詹／朱迪·兰德斯／奥莉维亚·巴瑞施,1989-10-12,https://p0.pipi.cn/basicdata/54ecded75370e1b12d537c7f75664c941f3f1.jpg?imageView2/1/w/218/h/300
抢钱家族,7.5,喜剧,桃井薰／鹿贺丈史／岩崎裕美,1988-05-14,https://p0.pipi.cn/basicdata/54ecded78078d39ab47df56768d124f4405a0.jpg?imageView2/1/w/218/h/300
冰与火,暂无评分,动作／冒险,Philippe Bernard／Scott Brooksbank／Jan Bucher,1986-01-16,https://p0.pipi.cn/basicdata/54ecded7e7a0e1af331789dabf65686b079d6.jpg?imageView2/1/w/218/h/300
黑色树海,暂无评分,剧情／悬疑／犯罪,,1986-01-04,https://p0.pipi.cn/mmdb/d2dad592030c7eaf33f0ee5a5b032f47f1d54.jpg?imageView2/1/w/218/h/300
飞行员的妻子,7.9,喜剧／剧情／爱情,菲利普·玛劳德／安妮-劳蕾 默里／玛丽·里维埃,1981-03-04,https://p0.pipi.cn/basicdata/54ecded78078d30fafaf33abefad24796aceb.jpg?imageView2/1/w/218/h/300
恶灵岛,6.8,剧情／悬疑,古尾谷雅人／浜村纯／原泉,1981-10-03,https://p0.pipi.cn/basicdata/54ecded78078d3b5355bf1ddb6e37b7b2c58f.jpg?imageView2/1/w/218/h/300
明星秘史,8.0,剧情,乔斯·雅克兰德／马丁·鲍尔萨姆／克莱尔·布鲁姆,1987-05-10 01:00,https://p0.pipi.cn/basicdata/54ecded78078d351baaf3393fd551dc06ec94.jpg?imageView2/1/w/218/h/300
无翼蝙蝠,6.8,武侠,井莉／欧阳佩珊／尔冬升,1980-12-11,https://p0.pipi.cn/mmdb/d2dad592b1251be5bc030c10248108ac9a620.jpg?imageView2/1/w/218/h/300
最后胜利,7.2,剧情／爱情／犯罪,曾志伟／李殿朗／李丽珍,1987-03-12,https://p0.pipi.cn/mmdb/d2dad592c7e7e1925750c8c27822596850047.jpg?imageView2/1/w/218/h/300
红楼梦第三部：凤姐泼醋,8.5,爱情／家庭／古装,夏菁／陶慧敏／傅艺伟,1989,https://p0.pipi.cn/mmdb/d2dad592b127e1be12f2aa717cf9f34dff255.jpg?imageView2/1/w/218/h/300
平安夜，杀人夜2,暂无评分,剧情／喜剧／惊悚／恐怖,James Newman／Elizabeth Kaitan／Jean Miller,1987-04-10,https://p0.pipi.cn/basicdata/54ecded7e7a8d302ff57e2bfb16c33d101be3.jpg?imageView2/1/w/218/h/300
坏家伙们,6.7,剧情／悬疑,松坂庆子／宫下顺子／梶芽衣子,1980-06-28,https://p0.pipi.cn/basicdata/54ecded75378d3339e501553d6c0d77cf52c8.jpg?imageView2/1/w/218/h/300
歪唇男人,8.7,悬疑／犯罪,杰瑞米·布雷特／爱德华·哈德威克／克莱夫·弗朗西斯,1986-08-13 01:00,https://p0.pipi.cn/mmdb/d2dad59206dc7ed236339ea44f84049c114a9.jpg?imageView2/1/w/218/h/300
舞狮人传奇,暂无评分,剧情／动作,杨振国／王润身／沈光炜,1985-02-01,https://p0.pipi.cn/mmdb/d2dad592b125bf16bd807701a457f71e85378.jpg?imageView2/1/w/218/h/300
岳家小将,7.1,战争,寻一峰／张希玲／Shing-chung Cheung,1984-01-01,https://p0.pipi.cn/mmdb/d2dad52ff2a9ab02ffd7c37eaf0d6db6302f0.jpg?imageView2/1/w/218/h/300
华佗与曹操,7.0,传记／历史,龚雪／郑乾龙／王洪生,1983-01-01,https://p0.pipi.cn/mmdb/d2dad592b1292387a98d33f6ace62eb259d11.jpg?imageView2/1/w/218/h/300
李尔王,8.0,剧情／爱情,迈克尔·霍登／吉莲·巴奇／布兰达·布莱斯,1982-09-19,https://p0.pipi.cn/basicdata/54ecded78070e1230f16bdc4e16c359b48cb5.jpg?imageView2/1/w/218/h/300
美国小子,7.0,剧情／喜剧／爱情,科里·海姆／凯利·格林／查理·辛,1986-03-28,https://p0.pipi.cn/basicdata/54ecded78078d37e12cbae0fb519adf13cf35.jpg?imageView2/1/w/218/h/300
阿罗汉神兽,暂无评分,剧情／犯罪,傅忠贵／刘文治／刘江,1989-02-01,https://p0.pipi.cn/mmdb/d2dad592b127e19ab4339e2ba7d88a0b727a5.jpg?imageView2/1/w/218/h/300
舞会惊魂2,5.6,惊悚／恐怖,迈克尔·艾恩塞德／温迪·里昂／贾斯汀·路易斯,1987-10-16,https://p0.pipi.cn/basicdata/54ecded78070e1b5358d338ddc94fc26ab470.jpg?imageView2/1/w/218/h/300
雪儿,6.7,剧情,钟楚红／梁家辉／陈国新,1984-12-22,https://p0.pipi.cn/mmdb/d2dad592b1251bb12d9235a4d71a2e34b697f.jpg?imageView2/1/w/218/h/300
鹤,8.1,历史／奇幻,吉永小百合／川谷拓三／树木希林,1988-05-21,https://p0.pipi.cn/basicdata/54ecded78070e150c850c837a1d6fc8dc9873.jpg?imageView2/1/w/218/h/300
都市里的村庄,7.6,剧情,殷亭如／韦国春／李萍,1982-10-24,https://p0.pipi.cn/mmdb/d2dad592b1251be5bc030caf08e9a9e91fbce.jpg?imageView2/1/w/218/h/300
峨眉飞盗,6.6,悬疑／犯罪,李殿芳／马树超／涂中如,1985,https://p0.pipi.cn/mmdb/d2dad592b12b12d23c2c95fa0c75bf79c6ac6.jpg?imageView2/1/w/218/h/300
猫灵,暂无评分,恐怖,猛丁哥／Mei-Bo Chiu／钟少雄,1980,https://p0.pipi.cn/basicdata/54ecded75370e139dd8d335d20fb4e901add2.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
月影谋杀,暂无评分,喜剧／惊悚／恐怖,Esa Anttila／Juuso Ruohomäki／Tiina Björkman,1988-11-04,https://p0.pipi.cn/basicdata/54ecded78070e18ea371f7ced4d72207f9823.jpg?imageView2/1/w/218/h/300
格列佛游记,暂无评分,动画／奇幻／冒险,Alexa Bates／拉尔夫·布朗／Thomas Entwhistle,1983-12-17,https://p0.pipi.cn/mmdb/d2dad592b12f2a50c857e238d87728ab502b9.jpg?imageView2/1/w/218/h/300
新锐剧场：未尝不可老天真,暂无评分,,,1986,https://p0.pipi.cn/basicdata/54ecded78078d3f2aad23c6e8cf9b0dfc3591.jpg?imageView2/1/w/218/h/300
飞尸,7.1,动作／恐怖,白彪／谷峰／楚湘云,1981-04-17,https://p0.pipi.cn/mmdb/25bfd6028eab12230fcf3e335e4b5f55f397a.jpg?imageView2/1/w/218/h/300
中国女孩,6.4,剧情／爱情／犯罪,詹姆斯·拉索／理查德·帕内比安科／大卫卡鲁索,1987-09-25,https://p0.pipi.cn/basicdata/54ecded7c698d3cbaeaf33c72df3dd83faa60.jpg?imageView2/1/w/218/h/300
布拉格之恋,8.0,爱情,朱丽叶·比诺什／丹尼尔·戴-刘易斯／莉娜·奥琳,1988-02-05,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d2367e12847f8a9309b31f2.jpg?imageView2/1/w/218/h/300
哆啦A梦：大雄与龙骑士,7.9,科幻／动画／冒险,大山信代／小原 乃梨子／野村道子,1987-03-14,https://p0.pipi.cn/mmdb/d2dad592b1251bf2aa537c8b9ffa64b1e7371.jpg?imageView2/1/w/218/h/300
空姐韵谈,暂无评分,剧情,江青霞／芩梦凡／狄锦,1987,https://p0.pipi.cn/basicdata/54ecded7e7a0e1e5bc07ac5700a6912643ec1.jpg?imageView2/1/w/218/h/300
情到深处,7.4,喜剧／爱情／剧情,约翰·库萨克／艾农·斯凯／约翰·马奥尼,1989-04-14,https://p0.pipi.cn/mmdb/d2dad592b1233807acd7c385b7659715840ff.jpg?imageView2/1/w/218/h/300
在陆地，在海上和在空中,8.0,动画／短片,,1980,https://p0.pipi.cn/mmdb/d2dad592b1251b7a350faf212d11aec2ef17f.jpg?imageView2/1/w/218/h/300
哗鬼学院,暂无评分,喜剧,Tom Nolan／Elizabeth Foxx／拉里·林维尔,1985-10-30,https://p0.pipi.cn/basicdata/54ecded78070e1f0ee7e128ace3d5247852bb.jpg?imageView2/1/w/218/h/300
猫头鹰与小飞象,6.9,剧情／喜剧／动作,林子祥／洪金宝／杨紫琼,1984-12-12,https://p0.pipi.cn/mmdb/d2dad592b123385bf13ba3da95f155f9948f5.jpg?imageView2/1/w/218/h/300
世纪争霸战,暂无评分,喜剧／动作／科幻,理查德·托马斯／罗伯特·沃恩／乔治·佩帕德,1980-08-10,https://p0.pipi.cn/mmdb/d2dad592b12f2a21f00e1368158377375b1a1.jpg?imageView2/1/w/218/h/300
角头兄弟,暂无评分,动作,梁家仁／游天龙／龙冠武,1989,https://p0.pipi.cn/basicdata/54ecded77e10e150c83ba3b7bd3abc0dd30e4.jpg?imageView2/1/w/218/h/300
白狗,7.9,剧情／惊悚／恐怖,塞缪尔·富勒／乔治·费舍尔／克里斯蒂·麦克尼科尔,1982-11-12,https://p0.pipi.cn/mmdb/d2dad592b1292302ffc6964e73716daa2ec1f.jpg?imageView2/1/w/218/h/300
恭喜发财,6.6,喜剧,谭咏麟／陈惠敏／林子祥,1985-02-15,https://p0.pipi.cn/mmdb/d2dad592b12f2acbae281ec3302e09d01384f.jpg?imageView2/1/w/218/h/300
午夜狂奔,7.8,动作／冒险／喜剧／犯罪,罗伯特·德尼罗／乔·潘托里亚诺／马丁·布莱斯特,1988-07-20,https://p0.pipi.cn/mmdb/d2dad592c7e7e150157e1276ae5aa2469ed82.jpg?imageView2/1/w/218/h/300
邪,7.5,恐怖／奇幻,恬妮／王戎／陈思佳,1980-07-09,https://p0.pipi.cn/mmdb/d2dad592b1251b7e128ea3f0773a8830c0d11.jpg?imageView2/1/w/218/h/300
龙咁威,6.4,喜剧,吴耀汉／陈欣健／Chun-Ying Cheung,1981-07-29,https://p0.pipi.cn/mmdb/d2dad592e7a0e1c696e5bc4a23da586e2722d.jpg?imageView2/1/w/218/h/300
南京的基督,暂无评分,剧情,陆小芬,1984,https://p0.pipi.cn/basicdata/54ecded70300e1c9fd67cb9ce17a98cb8cac0.jpg?imageView2/1/w/218/h/300
超级无敌掌门狗：月球野餐记,8.0,喜剧／动画,彼得·萨里斯,1989-01-01,https://p0.pipi.cn/mmdb/d2dad592b1251b51ba02fff6e9b300dd6a6ca.jpg?imageView2/1/w/218/h/300
蔡元培生平,暂无评分,纪录片／传记,孙道临／张瑞芳,1988-02-01,https://p0.pipi.cn/mmdb/d2dad592b12b1250c8b860b48582f9fa302ad.jpg?imageView2/1/w/218/h/300
螳螂捕蝉,8.3,动画／短片,,1988-02-01,https://p0.pipi.cn/mmdb/d2dad592b127e10e130faf935b2a2d34c0686.jpg?imageView2/1/w/218/h/300
战火浮生,7.6,剧情／历史／冒险,罗伯特·德尼罗／杰瑞米·艾恩斯／艾丹·奎因,1986-05-16 01:00,https://p0.pipi.cn/mmdb/d2dad592c7e7e150152ff7de7a4fb418b1757.jpg?imageView2/1/w/218/h/300
猛鬼舞厅,6.0,恐怖,刘家辉／卢惠光／徐少强,1989-09-28,https://p0.pipi.cn/mmdb/d2dad592b127e1be1206d607498c3e5a5cbb0.jpg?imageView2/1/w/218/h/300
女大学生宿舍,7.3,剧情／校园／青春,李霞／陈鸿梅／徐娅,1983-02-01,https://p0.pipi.cn/mmdb/d2dad592b12b12281ee7aad93c82cfe64a785.jpg?imageView2/1/w/218/h/300
兽心,6.4,犯罪,李修贤／黄锦燊／李影,1982-01-01,https://p0.pipi.cn/mmdb/d2dad592b122ff8077e19b6428bdb5f025091.jpg?imageView2/1/w/218/h/300
木棉袈裟,6.8,动作,徐向东／林秋萍／于荣光,1985-02-15,https://p0.pipi.cn/mmdb/d2dad592c7e7e13139925740c58f8d6c8e9a8.jpg?imageView2/1/w/218/h/300
迷雾森林十八年,8.0,剧情／传记,西格妮·韦弗／布莱恩·布朗／朱丽·哈里斯,1988-10-07,https://p0.pipi.cn/mmdb/d2dad592b12b12e19b39dd06cab40e3964cf2.jpg?imageView2/1/w/218/h/300
流浪爱侣,暂无评分,爱情,,1984,https://p0.pipi.cn/basicdata/54ecded706d8d311e5e5bcf938a5f11d102af.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
影片名称,评分,类型,主演,上映日期,图片URL
百色起义,6.9,战争,卢奇／程文宽／苏林,1989-07-30,https://p0.pipi.cn/mmdb/d2dad592b12338be2ab8605f4716acd216e53.jpg?imageView2/1/w/218/h/300
花心大少,7.0,剧情／喜剧／爱情,陈百祥／傅声／谢贤,1983-06-18,https://p0.pipi.cn/basicdata/54ecded7c698d302ff2ff7d6238012e7c7ad1.jpg?imageView2/1/w/218/h/300
肥猫流浪记,7.3,剧情,郑则仕／张曼玉／午马,1988-11-27,https://p0.pipi.cn/mmdb/d2dad592b12338f2aa51ba7dcc8330d358a5f.jpg?imageView2/1/w/218/h/300
摇滚时代广场,6.7,剧情／音乐,蒂姆·克里／Billy Mernit／Artie Weinstein,1980-10-17,https://p0.pipi.cn/basicdata/54ecded70308d3e5bcddd21dd03d9689aa063.jpg?imageView2/1/w/218/h/300
情逢敌手,7.1,喜剧／动作／爱情,陈志文／甄子丹／袁和平,1985-04-03,https://p0.pipi.cn/mmdb/d2dad592b12f2a2c9587a9fdc23db96df32d2.jpg?imageView2/1/w/218/h/300
怨女,7.0,剧情／爱情／家庭／传记,夏文汐／张盈真／徐明,1988-05-22,https://p0.pipi.cn/basicdata/54ecded78070e1501557e2e5ca2d2d5c3d3d4.jpg?imageView2/1/w/218/h/300
新最佳拍档,6.6,动作／喜剧,许冠杰／张国荣／麦嘉,1989-01-28,https://p0.pipi.cn/mmdb/d2dad592c7e7e17df50faf290722febbb15bf.jpg?imageView2/1/w/218/h/300
在那河畔青草青,6.5,剧情,钟镇涛／江玲／郑传文,1982-11-27,https://p0.pipi.cn/basicdata/54ecded78070e13ba306d6c594fb8c69126c4.jpg?imageView2/1/w/218/h/300
夜叉,7.7,剧情／爱情／犯罪,高仓健／石田良子／加治信子,1985-08-31,https://p0.pipi.cn/mmdb/d2dad592b12338338fddd263014564a40274a.jpg?imageView2/1/w/218/h/300
头皮猎手,3.7,恐怖,乔安·罗宾逊／Richard Hench／Roger Maycock,1983-12-02,https://p0.pipi.cn/mmdb/d2dad592b12b12c9fd71f73145b75fc6453d7.jpg?imageView2/1/w/218/h/300
第一茧,7.3,剧情／爱情／惊悚,刘德华／吴家丽／林聪,1989-04-15,https://p0.pipi.cn/mmdb/d2dad592b12b12e19b7df54d03f4dfd4d5525.jpg?imageView2/1/w/218/h/300
人民艺术家——赵丹,暂无评分,纪录片／短片／传记,赵丹,1985,https://p0.pipi.cn/mmdb/d2dad592e7a87ad7c392570bb2aeb00b8efa0.jpg?imageView2/1/w/218/h/300
乾隆皇与三姑娘,7.4,喜剧／动作／历史／古装,刘永／李昆／惠英红,1980-03-01,https://p0.pipi.cn/mmdb/d2dad592b1251b030c67cb963888696ca1d0e.jpg?imageView2/1/w/218/h/300
儿童之城,8.1,剧情,亚当·滕斯贝里／Morten Hoff／Peter Reichhardt,1983-03-04,https://p0.pipi.cn/basicdata/54ecded78078d3e7aab12da0cfbbba4b8541a.jpg?imageView2/1/w/218/h/300
夜半鬼缠身,暂无评分,恐怖,Brad Bartrum／Kenneth Roper Jr.／Darryl Tong,1988-05-20,https://p0.pipi.cn/mmdb/d2dad5920303392c95300b2c6d70e6a01d73d.jpg?imageView2/1/w/218/h/300
