影片名称,评分,类型,主演,上映日期,图片URL
影片名称,评分,类型,主演,上映日期,图片URL
姥姥的外孙,9.5,剧情,普提蓬·阿萨拉塔纳功／乌萨·萨梅坎姆／彤达婉·奔提维此弓,2024-08-23 18:00,https://p0.pipi.cn/basicdata/54ecde332c9ddd338f51ba0e368af8eae239b.jpg?imageView2/1/w/218/h/300
刺猬,9.2,剧情／家庭,葛优／王俊凯／李萍,2024-08-23 13:00,https://p0.pipi.cn/basicdata/54ecde330300fa313911e56c4738fae64e276.jpg?imageView2/1/w/218/h/300
新龙门客栈（舞台纪录电影·越剧）,暂无评分,纪录片,李云霄／陈丽君／张亚洲,2024-08-30 08:00,https://p0.pipi.cn/basicdata/54ecde33e7a5bfbe12339ec6b4c51ca0c572f.jpg?imageView2/1/w/218/h/300
抓娃娃,9.5,喜剧／剧情,沈腾／马丽／史彭元,2024-07-16 09:00,https://p0.pipi.cn/basicdata/54ecde3351b06de5bc16bd5e371e12bac3793.jpg?imageView2/1/w/218/h/300
名侦探柯南：百万美元的五棱星,9.1,动画／冒险／动作,高山南／山崎和佳奈／小山力也,2024-08-16 09:00,https://p0.pipi.cn/basicdata/54ecde330faf2ac7ed338ff5e29ae967d4121.jpg?imageView2/1/w/218/h/300
通往夏天的隧道，再见的出口,暂无评分,爱情／动画,铃鹿央士／饭丰万理江／小宫有纱,2024-08-30 09:00,https://p0.pipi.cn/basicdata/54ecde33c69c7ec9fd300bb326d6521cef778.jpg?imageView2/1/w/218/h/300
我爱你！,9.5,剧情／爱情／家庭,倪大红／惠英红／梁家辉,2023-06-21 18:00,https://p0.pipi.cn/mmdb/fb738687ecd51b030c17898de6fe3629786bf.jpg?imageView2/1/w/218/h/300
白蛇：浮生,9.3,动画／喜剧／爱情,张喆／杨天翔／唐小喜,2024-08-10 09:00,https://p0.pipi.cn/basicdata/54ecde3387ac7e7e12f0ee26fb35b7ab3f1a0.jpg?imageView2/1/w/218/h/300
食神,暂无评分,剧情,周星驰／莫文蔚／薛家燕,2024-08-31,https://p0.pipi.cn/basicdata/54ecde33b537e1c696178950412da46bdc80a.jpg?imageView2/1/w/218/h/300
航海王：强者天下,8.9,动画／冒险／奇幻,田中真弓／中井和哉／冈村明美,2024-08-23,https://p0.pipi.cn/basicdata/54ecde33f2a51b11e5ddd2bb4fde1dd5b19f7.jpg?imageView2/1/w/218/h/300
逆行人生,9.1,剧情,徐峥／辛芷蕾／王骁,2024-08-09 09:00,https://p0.pipi.cn/basicdata/54ecde33d7c51b7e12be2abd5c5525b7cd6f3.jpg?imageView2/1/w/218/h/300
异形：夺命舰,8.9,科幻／惊悚,卡莉·史派妮／戴维·荣松／阿奇·雷诺,2024-08-16,https://p0.pipi.cn/basicdata/54ecde33f2ac69030c8077342c3ea64b98549.jpg?imageView2/1/w/218/h/300
解密,9.3,谍战／奇幻／家庭／历史,刘昊然／约翰·库萨克／陈道明,2024-08-03 09:00,https://p0.pipi.cn/basicdata/54ecde3302f807d7c39ab45642620fced1495.jpg?imageView2/1/w/218/h/300
异人之下,8.0,奇幻／动作／剧情,胡先煦／李宛妲／冯绍峰,2024-07-26 09:00,https://p0.pipi.cn/basicdata/54ecded7b530e1339e07aca7566e746fddc4b.jpg?imageView2/1/w/218/h/300
红楼梦之金玉良缘,暂无评分,剧情,林鹏／卢燕／边程,2024-08-16 10:00,https://p0.pipi.cn/basicdata/54ecde33c695bf2c9511e53407404c697dd02.jpg?imageView2/1/w/218/h/300
默杀,9.2,犯罪／悬疑／剧情,王传君／张钧甯／吴镇宇,2024-07-03 13:00,https://p0.pipi.cn/mmdb/54ecded79ab33807ac80778980763f316c505.jpg?imageView2/1/w/218/h/300
731,暂无评分,剧情／战争／悬疑／惊悚,姜武／王志文／李乃文,,https://p0.pipi.cn/mmdb/54ecde022c9b12030c07ac52bb33536557d94.jpg?imageView2/1/w/218/h/300
死侍与金刚狼,8.9,科幻,瑞安·雷诺兹／休·杰克曼／艾玛·科林,2024-07-26,https://p0.pipi.cn/basicdata/54ecded77e12ffddd292357ac926d9c427c16.jpg?imageView2/1/w/218/h/300
负负得正,8.5,爱情／剧情,朱一龙／邱天／蒋奇明,2024-08-10 09:00,https://p0.pipi.cn/basicdata/54ecde3392351b87a9339edf70c65478c68b2.jpg?imageView2/1/w/218/h/300
孤注一掷,9.1,犯罪／剧情,张艺兴／金晨／咏梅,2024-08-24 09:00,https://p0.pipi.cn/mmdb/54ecde337e12ff8d33b535c988099bdf45cd0.jpg?imageView2/1/w/218/h/300
云边有个小卖部,8.5,剧情,彭昱畅／周也／艾丽娅,2024-06-22 09:00,https://p0.pipi.cn/basicdata/54ecde3387ac7e11e592351b4b76c7e39bb87.jpg?imageView2/1/w/218/h/300
重生,9.4,犯罪,张家辉／阮经天／张榕容,2024-08-16 09:00,https://p0.pipi.cn/basicdata/54ecde33b1206d92578077d6fd4c138c5a74b.jpg?imageView2/1/w/218/h/300
从21世纪安全撤离,9.0,喜剧／科幻／青春,张若昀／钟楚曦／宋洋,2024-08-02 14:00,https://p0.pipi.cn/basicdata/54ecded77a3338be2abe1256c0840539719f1.jpg?imageView2/1/w/218/h/300
假如，我是这世上最爱你的人,9.4,剧情／喜剧,佟丽娅／黄明昊／李宗恒,2024-08-23 09:00,https://p0.pipi.cn/basicdata/54ecde33f2af2ab53571f7bf04ee73099fb51.jpg?imageView2/1/w/218/h/300
