影片名称,评分,类型,主演,上映日期,图片URL
你的名字。,9.2,动画／剧情,上白石萌音／佟心竹／神木隆之介,2024-07-19 14:00,https://p0.pipi.cn/mmdb/54ecde717a3923d7c37a35fa96e6a978e6fda.jpg?imageView2/1/w/218/h/300
传说,8.0,剧情／动作／奇幻／冒险,成龙／张艺兴／古力娜扎,2024-07-10 10:00,https://p0.pipi.cn/mmdb/54ecded7dddc69339eb8609a7eeab4c9e52ae.jpg?imageView2/1/w/218/h/300
倒仓,暂无评分,青春／剧情,边程／周美君／张弛,2024-08-24 09:00,https://p0.pipi.cn/basicdata/54ecde33e7a3382ff7281eb8090e033a5b616.jpg?imageView2/1/w/218/h/300
转生大作战,暂无评分,动画,内田真礼／苍井翔太／柿原彻也,2024-08-30,https://p0.pipi.cn/basicdata/54ecde33f2a923537c50c8902a71073d5488f.png?imageView2/1/w/218/h/300
蓦然回首,暂无评分,动画,河合优实／吉田美月喜,2024-06-28,https://p0.pipi.cn/basicdata/54ecded77e102f92350e13c7a1204421690dc.jpg?imageView2/1/w/218/h/300
小小的我,暂无评分,剧情,易烊千玺／林晓杰／蒋勤勤,,https://p0.pipi.cn/mmdb/fb73862fb1251b71f73139aecfbace3d370c5.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
镖人：风起大漠,暂无评分,武侠／动作,吴京／谢霆锋／李连杰,,https://p0.pipi.cn/basicdata/54ecde3311e923338fc7ed1daf8588c3498bc.jpg?imageView2/1/w/218/h/300
爱情，到此为止,暂无评分,剧情／爱情,布莱克·莱弗利／贾斯汀·贝尔杜尼／珍妮·斯蕾特,2024-08-30 09:00,https://p0.pipi.cn/basicdata/54ecde335bf80702ff0e13b36d427789e86fa.jpg?imageView2/1/w/218/h/300
不能错过的只有你,8.1,爱情／剧情,杨烁／李萌萌／刘流,2023-04-01 09:00,https://p0.pipi.cn/mmdb/54ecde02338c7e230f7df526082366e5c5b5a.jpg?imageView2/1/w/218/h/300
神偷奶爸4,8.8,喜剧／动作／动画,史蒂夫·卡瑞尔／大鹏／克里斯汀·韦格,2024-07-12,https://p0.pipi.cn/basicdata/54ecded70303387df511e5b964a8478343d2c.jpg?imageView2/1/w/218/h/300
头脑特工队2,9.2,动画,艾米·波勒／关晓彤／玛雅·霍克,2024-06-21,https://p0.pipi.cn/mmdb/54ecde0211eb12d7c3ddd206492ba36fc7569.jpg?imageView2/1/w/218/h/300
喜羊羊与灰太狼之守护,9.1,热血／冒险／动画,祖晴／张琳／梁颖,2024-07-19 09:00,https://p0.pipi.cn/mmdb/54ecded7338b1239dd030cfbd895da649d2fb.jpg?imageView2/1/w/218/h/300
张杰曜北斗巡回演唱会（舞台纪录电影）,暂无评分,纪录片,张杰,,https://p0.pipi.cn/basicdata/54ecded7c698d351ba51ba7ded65b5fe5f11a.jpg?imageView2/1/w/218/h/300
封神第二部,暂无评分,神话／动作／史诗,娜然／黄曦彦／李昀锐,,https://p0.pipi.cn/mmdb/fb7386712ff923f2aaf0ee1184d71e5aaac47.jpg?imageView2/1/w/218/h/300
狗阵,暂无评分,剧情,彭于晏／佟丽娅／贾樟柯,2024-06-15 09:00,https://p0.pipi.cn/mmdb/54ecde71c69f2a57e2ecd8d76d9eb98434e75.jpg?imageView2/1/w/218/h/300
逆鳞,暂无评分,犯罪／剧情,沈腾／张雨绮／高捷,2024-08-23 18:00,https://p0.pipi.cn/basicdata/54ecde33d7c0fa0e13537c392f704f430d934.jpg?imageView2/1/w/218/h/300
熊出没·逆转时空,9.4,动画／喜剧／科幻,谭笑／张茗／李婉瑶,2024-02-10 09:00,https://p0.pipi.cn/mmdb/54ecde9a7a39232c950faf5a65e3981459da6.jpg?imageView2/1/w/218/h/300
泪光中的妈妈,暂无评分,剧情,陶红／张国强／张雨提,2024-05-11,https://p0.pipi.cn/basicdata/54ecded711e33907ac71f7c52881a77461aac.jpg?imageView2/1/w/218/h/300
被我弄丢的你,8.6,爱情／剧情,檀健次／张婧仪／蒋龙,2024-03-08 10:00,https://p0.pipi.cn/mmdb/54ecde8d338807b86017890eb5ebcca70f917.jpg?imageView2/1/w/218/h/300
蓝色禁区：凪,8.5,动画／运动,岛崎信长／内田雄马／兴津和幸,2024-07-26 09:00,https://p0.pipi.cn/basicdata/54ecded7030f2a7a359ab492ccff9a61f0a1f.jpg?imageView2/1/w/218/h/300
再见，爷爷,暂无评分,纪录片,,2024-09-04,https://p0.pipi.cn/basicdata/54ecde338d3ddd8d335015e6cc969b9123451.jpg?imageView2/1/w/218/h/300
人海同游,暂无评分,剧情,林冬萍／欧阳骏／潘结,2024-08-27,https://p0.pipi.cn/basicdata/54ecde33c69c7ec7ed230ffc543d8ceb2f8cb.jpg?imageView2/1/w/218/h/300
因果报应,暂无评分,动作,维杰·西图帕提／阿努拉格·卡施亚普／玛玛塔·莫汉达斯,2024-06-14,https://p0.pipi.cn/mmdb/54ecded7f2a338b8602c95be34f07d02cf382.jpg?imageView2/1/w/218/h/300
排球少年!! 垃圾场决战,9.5,动画／运动,村濑步／石川界人／日野聪,2024-06-15 09:00,https://p0.pipi.cn/mmdb/54ecde7133851bd7c3cf3e5cb08d9ad46ad38.jpg?imageView2/1/w/218/h/300
最遗憾是错过你,暂无评分,剧情／爱情,连晨翔／吴子霏／周予天,2023-08-22 09:00,https://p0.pipi.cn/mmdb/fb738633030ddd9257c6968d2a777477a0034.jpg?imageView2/1/w/218/h/300
落凡尘,9.4,动画,李昕／刘校妤／刘琮,2024-07-12 09:00,https://p0.pipi.cn/basicdata/54ecde3351b51bd7c3537cada284e68bb616c.jpg?imageView2/1/w/218/h/300
走走停停,8.7,剧情／家庭／喜剧,胡歌／高圆圆／岳红,2024-06-08 09:00,https://p0.pipi.cn/mmdb/54ecde87ddddddd23cc7edadd8809c4be58d7.jpg?imageView2/1/w/218/h/300
校园神探,暂无评分,儿童／喜剧／悬疑,林子烨／洪悦熙／裴佳欣,2024-08-03 09:00,https://p0.pipi.cn/basicdata/54ecded72c951b7e12e5bcb223294d6d55ede.jpg?imageView2/1/w/218/h/300
小黄人大眼萌：神偷奶爸前传,8.9,喜剧／动画／动作,史蒂夫·卡瑞尔／艾伦·阿金／皮埃尔·柯芬,2022-08-19,https://p0.pipi.cn/mmdb/25bfd6338075bfbe2ac7ed2b765beaae602a2.jpg?imageView2/1/w/218/h/300
扎职3,暂无评分,动作／犯罪,黄宗泽／张继聪／陈家乐,2024-08-29,https://p0.pipi.cn/mmdb/fb73869a5bff2ab12d9235d6f41d226f61e63.png?imageView2/1/w/218/h/300
刺杀小说家2,暂无评分,奇幻／动作,邓超／董子健／雷佳音,,https://p0.pipi.cn/basicdata/54ecde330faddd230f537c5265e2705bd47ba.jpg?imageView2/1/w/218/h/300
欢迎来到我身边,9.0,爱情／喜剧／奇幻,于适／王影璐／鸭鸭,2024-07-05 09:00,https://p0.pipi.cn/mmdb/54ecded771f0fa5bf171f7b5e2c249cb06df7.jpg?imageView2/1/w/218/h/300
熊出没·重返地球,9.4,动画／剧情／科幻,熊二／光头强／熊大,2022-02-01 08:00,https://p0.pipi.cn/mmdb/25bfd68decdb12b53592351a40d2bc6da3453.jpg?imageView2/1/w/218/h/300
灌篮高手,9.2,动画／青春／热血,宫城良田／三井寿／流川枫,2024-08-03 11:30,https://p0.pipi.cn/basicdata/54ecded7537c7ee7aa2ff7587ab228422f1d4.jpg?imageView2/1/w/218/h/300
伞少女,8.9,动画／奇幻,聂曦映／谷江山／刘校妤,2024-07-06 09:00,https://p0.pipi.cn/mmdb/54ecded702f5bf7e1206d644d45ca94131652.jpg?imageView2/1/w/218/h/300
第二十条,9.5,喜剧／剧情／家庭,雷佳音／马丽／赵丽颖,2024-02-10 09:00,https://p0.pipi.cn/mmdb/54ecde8d2ff51b8d33300beb713232e1932ab.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
星际穿越,9.3,剧情／科幻／冒险,马修·麦康纳／安妮·海瑟薇／杰西卡·查斯坦,2014-11-12,https://p0.pipi.cn/mmdb/d2dad592b125bfc9fd300b8a46169f8008efb.jpg?imageView2/1/w/218/h/300
又是充满希望的一天,暂无评分,剧情,宋宁峰／张歆艺／郭柯宇,2024-08-16 09:00,https://p0.pipi.cn/basicdata/54ecde335bf8079ab439dd3547489dad44ceb.jpg?imageView2/1/w/218/h/300
悟空,暂无评分,科幻／动画／奇幻／冒险,,,https://p0.pipi.cn/mmdb/d2dad5927e10fab535e19bbb0477861d72df8.jpg?imageView2/1/w/218/h/300
美利坚女士,8.3,纪录片,泰勒·斯威夫特／乔·阿尔文 ／安德里亚·斯威夫特,2020-01-23,https://p0.pipi.cn/mmdb/d2dad5927a30e17a35be2a847f28e5bfcec43.webp?imageView2/1/w/218/h/300
沙漏,8.5,青春／爱情,邱天／包上恩／黄明昊,2024-06-21 17:00,https://p0.pipi.cn/mmdb/54ecde873385bfddd27a354557ec866df70d0.jpg?imageView2/1/w/218/h/300
我们一起摇太阳,9.5,剧情／爱情／家庭,彭昱畅／李庚希／徐帆,2024-03-30 10:00,https://p0.pipi.cn/mmdb/54ecde9a11ef2a57e20e1358a2321f27f7a8e.jpg?imageView2/1/w/218/h/300
名侦探柯南：黑铁的鱼影,9.0,动画／悬疑／动作,高山南／山崎和佳奈／小山力也,2023-12-16 09:00,https://p0.pipi.cn/mmdb/fb73862f71f33887a987a9a783320257cceb3.jpg?imageView2/1/w/218/h/300
白蛇：缘起,9.3,爱情／动画／奇幻,张喆／杨天翔／唐小喜,2024-06-29 09:00,https://p0.pipi.cn/mmdb/54ecde71c7e3389235339e47bb9dbddfedb96.jpg?imageView2/1/w/218/h/300
封神第一部,9.4,神话／动作／史诗,费翔／李雪健／黄渤,2023-07-20 18:00,https://p0.pipi.cn/mmdb/fb738633dddddd230fddd2291917e3b884f3c.jpg?imageView2/1/w/218/h/300
功夫熊猫4,8.5,动画／动作／冒险,杰克·布莱克／黄渤／奥卡菲娜,2024-03-22,https://p0.pipi.cn/mmdb/54ecde71030c7eaf33d7c3024a956ff3f789d.jpg?imageView2/1/w/218/h/300
白蛇2：青蛇劫起,9.0,冒险／奇幻／动画,唐小喜／魏超／赵明洲,2021-07-23 09:00,https://p0.pipi.cn/mmdb/d2dad5927a30e12ff70e1390a2c371930fc97.jpg?imageView2/1/w/218/h/300
间谍过家家 代号：白,9.3,动画／喜剧／剧情,劳埃德·福杰／约尔·福杰 ／阿尼亚·福杰,2024-04-30 14:00,https://p0.pipi.cn/mmdb/54ecded7339c7e0e13c9fdd917f0c3f12d322.jpg?imageView2/1/w/218/h/300
何处生长,暂无评分,剧情／家庭／青春,尚语贤／艾丽娅／岳骁恪,2024-08-31,https://p0.pipi.cn/basicdata/54ecde3311e5bf8ea3281e6af7fb2b9fc5d0a.jpg?imageView2/1/w/218/h/300
年少日记,9.1,剧情,卢镇业／郑中基／陈汉娜,2024-04-19 09:00,https://p0.pipi.cn/mmdb/54ecde025bf51b8ea39ab4ff1eec4d5341980.jpg?imageView2/1/w/218/h/300
唐人街探案4,暂无评分,喜剧／悬疑,王宝强／刘昊然／本尼迪克特·康伯巴奇,,https://p0.pipi.cn/basicdata/54ecded706d0e1b535c9fd8925778db13ed4a.jpg?imageView2/1/w/218/h/300
邓紫棋G.E.M. X.X.X.LIVE 中国巡回终点站北京演唱会,暂无评分,纪录片／歌舞,邓紫棋,,https://p0.pipi.cn/basicdata/54ecded7c690e10faf8ea3c0ed4a73991b6d2.jpg?imageView2/1/w/218/h/300
蜡笔小新：新次元！超能力大决战,9.0,动画／喜剧／奇幻／冒险,小林由美子／楢桥 美纪／森川智之,2023-11-25 09:00,https://p0.pipi.cn/mmdb/fb73865111ef2a3139c9fdffb6b1c2b0210e0.jpg?imageView2/1/w/218/h/300
九龙城寨之围城,9.3,动作／犯罪,古天乐／洪金宝／任贤齐,2024-05-01 10:00,https://p0.pipi.cn/mmdb/54ecde878d3b120faf80773a6f000d2405608.jpg?imageView2/1/w/218/h/300
扫黑·决不放弃,8.8,犯罪／喜剧,肖央／余皑磊／范丞丞,2024-06-08 09:00,https://p0.pipi.cn/mmdb/54ecde713399230faf923574e4069a0249c83.jpg?imageView2/1/w/218/h/300
最后的魁拔,暂无评分,动作／动画／奇幻／冒险,刘婧荦,,https://p0.pipi.cn/basicdata/54ecded7e7a8d38d33c696eda9a393ea64ef8.jpg?imageView2/1/w/218/h/300
749局,暂无评分,青春／科幻／冒险／动作,王俊凯／苗苗／郑恺,,https://p0.pipi.cn/mmdb/fb738671b53c7e92571789f9657ba0502a517.jpg?imageView2/1/w/218/h/300
小孩不笨3,暂无评分,喜剧／家庭／剧情,胡静／周俞辰／柳胜美,2024-08-16,https://p0.pipi.cn/basicdata/54ecde33339f2a339e0fafd2e7cd06e1e11ed.jpg?imageView2/1/w/218/h/300
泰勒·斯威夫特：时代巡回演唱会,9.6,音乐／纪录片,泰勒·斯威夫特／阿曼达·巴伦／泰勒·班克斯,2023-12-31 13:13,https://p0.pipi.cn/mmdb/fb73862f3380fa5bf102ffa28b06bbabd0a63.jpg?imageView2/1/w/218/h/300
机动战士高达SEED FREEDOM,6.8,科幻／动画／战争,保志总一朗／田中理惠／石田彰,2024-01-26,https://p0.pipi.cn/mmdb/54ecde8d8eaf2a281e7df575cb480349e85e5.png?imageView2/1/w/218/h/300
金陵御猫,暂无评分,动画／剧情,图特哈蒙／马正阳／阿杰,2024-08-24,https://p0.pipi.cn/basicdata/54ecde330300fa313950c8c7d1a5b877ae4b4.jpg?imageView2/1/w/218/h/300
异形：契约,6.9,恐怖／科幻,迈克尔·法斯宾德／凯瑟琳·沃特森／比利·克鲁德普,2017-06-16,https://p0.pipi.cn/mmdb/d2dad592b125bf925711e535d694a275f27b7.jpg?imageView2/1/w/218/h/300
泳者之心,9.7,剧情／传记,黛茜·雷德利／蒂尔达·格哈姆-哈维／斯蒂芬·格拉汉姆,2024-05-31,https://p0.pipi.cn/mmdb/54ecde87f2a51bf0ee339ed8187113cdb72b5.jpg?imageView2/1/w/218/h/300
阿狸,暂无评分,动画／冒险／奇幻,叶知秋／王晨光／刘琮,2024-08-17 09:00,https://p0.pipi.cn/basicdata/54ecde332ff9237df5ecd8e8f0f724f3f029d.jpg?imageView2/1/w/218/h/300
你想活出怎样的人生,8.5,剧情／奇幻／动画,山时聪真／刘昊然／菅田将晖,2024-04-03 18:00,https://p0.pipi.cn/mmdb/54ecde0251b3385bf171f7bed23b9c527efea.jpg?imageView2/1/w/218/h/300
海关战线,8.9,动作／剧情,谢霆锋／张学友／林嘉欣,2024-06-28 09:00,https://p0.pipi.cn/mmdb/54ecde7111ec7e50157df52c5eb486a326da4.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
志愿军：雄兵出击,9.6,剧情／历史／战争,唐国强／王砚辉／刘劲,2023-09-28 18:00,https://p0.pipi.cn/mmdb/54ecde8dbe12ff7e12b12d22326e238c80c56.jpg?imageView2/1/w/218/h/300
错过你的那些年,7.7,剧情／爱情,许光汉／清原果耶／张孝全,2024-05-19 09:00,https://p0.pipi.cn/mmdb/54ecde875375bfb12d3ba3dbf565313891853.jpg?imageView2/1/w/218/h/300
怒潮,8.9,犯罪／动作,张家辉／阮经天／王大陆,2023-12-16 09:00,https://p0.pipi.cn/mmdb/54ecdebe8d333811e5230fd0943a9b8928e9f.jpg?imageView2/1/w/218/h/300
新龙门客栈,8.8,武侠／动作,甄子丹／梁家辉／张曼玉,2012-02-24,https://p0.pipi.cn/mmdb/d2dad592c7e7e17a35ddd2cb8d84b364169f8.jpg?imageView2/1/w/218/h/300
一生交给党,暂无评分,战争,王超伟／鲜青洋／莫小奇,2024-08-01,https://p0.pipi.cn/basicdata/54ecded77a35bf7df5537c21224562cf6dac3.png?imageView2/1/w/218/h/300
哆啦A梦：大雄的地球交响乐,8.9,动画／音乐／冒险,水田山葵／大原惠美／嘉数由美,2024-05-31 12:00,https://p0.pipi.cn/mmdb/54ecde71923b1211e521f059d99f6360e7e73.jpg?imageView2/1/w/218/h/300
周处除三害,9.3,动作／犯罪／悬疑,阮经天／袁富华／陈以文,2024-03-01 09:00,https://p0.pipi.cn/mmdb/54ecdebe80751becd8c9fd799d14608745656.jpg?imageView2/1/w/218/h/300
变形金刚：超能勇士崛起,9.0,动作／科幻／冒险,擎天柱／擎天圣／大黄蜂,2023-06-09,https://p0.pipi.cn/mmdb/fb7386712c992367cb07acd75f94b0e41c39b.jpg?imageView2/1/w/218/h/300
金腰带,暂无评分,剧情／动作,姚橹／班玛夺基／张美煊,2024-08-23,https://p0.pipi.cn/basicdata/54ecde3306d5bf339e11e563cb230f20c1208.jpg?imageView2/1/w/218/h/300
热辣滚烫,9.2,喜剧／剧情,贾玲／雷佳音／张小斐,2024-02-10 09:00,https://p0.pipi.cn/mmdb/54ecdebe51bddd030c1789a49a18089e5bcaf.jpg?imageView2/1/w/218/h/300
我们的样子像极了爱情,8.1,剧情／爱情,李孝谦／漆昱辰／林俊毅,2022-08-04 13:00,https://p0.pipi.cn/mmdb/25bfd63302f923b8603ba35b912b87ea859f6.jpg?imageView2/1/w/218/h/300
疯狂动物城,9.5,动画／动作／冒险,金妮弗·古德温／杰森·贝特曼／伊德瑞斯·艾尔巴,2016-03-04,https://p0.pipi.cn/mmdb/d2dad592b12f2a7e120faf4954319ee560065.webp?imageView2/1/w/218/h/300
绝地战警：生死与共,暂无评分,动作／喜剧,威尔·史密斯／马丁·劳伦斯／凡妮莎·哈金斯,2024-06-22 09:00,https://p0.pipi.cn/mmdb/54ecde7171f5bf338f06d6ccedea822a07bc4.png?imageView2/1/w/218/h/300
飞驰人生2,9.5,喜剧／剧情,沈腾／范丞丞／尹正,2024-02-10 09:00,https://p0.pipi.cn/mmdb/54ecde8751bf2af2aa8ea3c3bcaaa289a9e9c.jpg?imageView2/1/w/218/h/300
异形,8.6,科幻／惊悚／恐怖,西格妮·韦弗／哈利·戴恩·斯坦通／约翰·赫特,1979-05-25,https://p0.pipi.cn/mmdb/d2dad592c7e7e139dd71f7f924d9141a9adc5.jpg?imageView2/1/w/218/h/300
穿过月亮的旅行,8.4,爱情／剧情,张子枫／胡先煦／仁科,2024-05-01 09:00,https://p0.pipi.cn/mmdb/54ecde878d3c7e8d33537c2d13a28e66fee41.jpg?imageView2/1/w/218/h/300
哥斯拉大战金刚2：帝国崛起,9.3,动作／冒险／科幻,金刚／哥斯拉／丽贝卡·豪尔,2024-03-29 09:00,https://p0.pipi.cn/mmdb/54ecde87d7c92367cb57e2b8d64090fd73c8d.jpg?imageView2/1/w/218/h/300
悟空传,7.7,剧情／动作／奇幻,宋晓军／彭于晏／倪妮,2017-07-13,https://p0.pipi.cn/mmdb/fb7386d753792371f72ff7412fd60d87281a1.jpg?imageView2/1/w/218/h/300
加菲猫家族,9.0,动画／冒险／喜剧,克里斯·帕拉特／塞缪尔·L·杰克逊／汉娜·沃丁厄姆,2024-06-01 09:00,https://p0.pipi.cn/mmdb/54ecde710faf2acbaec7edd54a93197aabf49.jpg?imageView2/1/w/218/h/300
许巍此时此刻巡回演唱会,暂无评分,音乐,许巍,,https://p0.pipi.cn/basicdata/54ecded7c698d3807739dd3ac6087c39195c6.jpg?imageView2/1/w/218/h/300
守龙者,暂无评分,动画／冒险／家庭,杨恩又,2024-08-17 09:00,https://p0.pipi.cn/basicdata/54ecde33ddd5bf5015e19bf0ba08d7c434dda.jpg?imageView2/1/w/218/h/300
长安三万里,9.4,动画／历史,杨天翔／凌振赫／吴俊全,2023-07-08 09:00,https://p0.pipi.cn/mmdb/54ecde9a2c9f2a11e52ff7a72d1ef23df4775.jpg?imageView2/1/w/218/h/300
战狼3,暂无评分,动作／爱情／战争,,,https://p0.pipi.cn/mmdb/fb7386335bfc7e50c8be2ac58d0c8cb870b97.jpg?imageView2/1/w/218/h/300
头脑特工队,9.0,动画／喜剧／家庭,艾米·波勒／菲利斯·史密斯／敏迪·卡灵,2015-10-06,https://p0.pipi.cn/mmdb/d2dad592b125bf230f7e1264015f89b682be2.jpg?imageView2/1/w/218/h/300
龙卷风,8.8,动作／冒险,黛西·埃德加-琼斯／格伦·鲍威尔／安东尼·拉莫斯,2024-07-19,https://p0.pipi.cn/mmdb/54ecde71b53f2addd2395b8b5ba0205f74531.jpg?imageView2/1/w/218/h/300
末路狂花钱,8.7,喜剧／剧情,贾冰／谭卓／小沈阳,2024-05-01 09:00,https://p0.pipi.cn/mmdb/54ecde878d32ff0e139257d548b73a30ac9f9.jpg?imageView2/1/w/218/h/300
刺杀小说家,8.6,奇幻／动作／冒险,雷佳音／杨幂／董子健,2021-02-12 08:00,https://p0.pipi.cn/mmdb/d2dad592030dddd2369ab44de274bca37c0e8.jpg?imageView2/1/w/218/h/300
你的婚礼,8.0,爱情,许光汉／章若楠／丁冠森,2021-04-30,https://p0.pipi.cn/mmdb/fb73862f8ea0facbae67cb1bd99002460af79.jpg?imageView2/1/w/218/h/300
万里归途,9.5,剧情／战争,张译／王俊凯／殷桃,2022-09-30 18:00,https://p0.pipi.cn/mmdb/fb7386028ea51b537cc7ede21be60528efece.jpg?imageView2/1/w/218/h/300
消失的她,9.2,悬疑／犯罪／剧情,朱一龙／倪妮／文咏珊,2023-06-22 09:00,https://p0.pipi.cn/mmdb/fb738671537c69e5bc02ff9ad5c95aa31a703.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
向阳·花,暂无评分,剧情,赵丽颖,,https://p0.pipi.cn/basicdata/54ecded706d51b02ff7a352ee9d440527e9d8.jpg?imageView2/1/w/218/h/300
哪吒之魔童降世,9.6,动画,吕艳婷／囧森瑟夫／瀚墨,2019-07-26,https://p0.pipi.cn/mmdb/d2dad592537923f0ee07acada3ac59b9f3ffb.jpg?imageView2/1/w/218/h/300
寂静之地：入侵日,7.0,惊悚／灾难／科幻,露皮塔·尼永奥／约瑟夫·奎恩／Schnitzel,2024-06-28 14:00,https://p0.pipi.cn/mmdb/54ecde712c93397df57e12b97f0f3398dadc2.jpg?imageView2/1/w/218/h/300
茶啊二中,9.3,动画／奇幻／喜剧,邢原源／王博文／高禹恒,2023-07-14 08:00,https://p0.pipi.cn/mmdb/fb7386d7338ddd3139f0eefb73d17c1a581b3.jpg?imageView2/1/w/218/h/300
